"","Samara.id","Samara.name","Samara.latitude","Samara.longitude","Samara.distance"
"1","RSM00028900","SAMARA",53.25,50.2167,0
"2","RSM00027995","BEZENCHUK",53,49.4,61.1745545424426
"3","RSM00035001","BOLSAJA GLUSCICA",52.383,50.467,97.8622757446143
"4","RSM00028908","AVANGARD ZERNOSOVHO",52.617,51.283,100.305137966841
"5","RSM00028802","SERNOVODSK",53.9,51.3,101.681626072836
"6","RSM00027799","DIMITROVGRAD",54.233,49.6,116.584999339055
"7","RSM00027983","SYZRAN'",53.183,48.4,121.186788303383
"8","RSM00028704","CULPANOVO",54.5,50.4,139.511964041256
"9","RSM00028705","CELNO-VERSINY",54.417,51.1,142.118283398005
"10","RSM00028909","BUZULUK",52.817,52.217,142.149713889522
"11","RSM00035007","PERELYUB",51.9,50.3,150.218625130099
"12","RSM00028806","BUGURUSLAN",53.617,52.45,153.462571365999
"13","RSM00034098","PUGACEV",52.033,48.833,164.398687904632
"14","RSM00034083","HVALYNSK",52.5,48.083,165.702013045682
"15","RSM00027786","ULYANOVSK",54.317,48.333,171.430118563214
"16","RSM00027697","TETJUSI",54.95,48.817,209.898461766727
"17","RSM00035011","SOROCINSK",52.4,53.1,215.532994941628
"18","RSM00028711","BUGULMA",54.583,52.8,224.900061745695
"19","RSM00034199","OZINKI",51.2,49.733,230.3167459213
